trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.5, 'e': 0.71177032276260965}",25,0,-20.814541257038172,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.69767632607103103}",25,0,-113.37900635864673,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.68386140921235583}",25,5,-32.41402287175828,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.67032004603563933}",20,0,-53.046193383672936,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.65704681981505675}",25,14,-70.214322830232,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.64403642108314141}",30,18,-2.9990550154338194,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.63128364550692595}",30,0,-81.33198787332338,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.61878339180614084}",25,0,-14.280382526164994,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.60653065971263342}",20,0,-120.75174210414315,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.59452054797019438}",20,13,-0.413137606292024,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.58274825237398964}",20,2,-90.44486761757587,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.57120906384881487}",25,0,-15.326676677007555,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.55989836656540204}",20,0,13.360709058858609,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,14,12.81841944382311,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.53794443759467447}",30,0,-123.39318707855915,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.52729242404304855}",20,0,-19.378870109233652,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.51685133449169918}",20,0,-53.362910755974326,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.50661699236558955}",25,6,-80.39850431366033,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.49658530379140947}",35,23,-50.98070221070727,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.48675225595997168}",20,0,15.530683631440738,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.47711391552103438}",25,0,-38.51488489148733,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,7,-81.14771405877988,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.45840601130522352}",20,7,-21.54939415128519,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.44932896411722156}",35,0,16.82389854226402,"{0: 32, 1: 0, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,12,1.0754022686144107,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,16,7.4448212354868915,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.42316208231774882}",20,5,7.729738971297883,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.41478291168158138}",20,4,-7.951744509595841,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.40656965974059911}",20,11,13.71632093941911,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,4,7.923974837942956,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.39062783535852108}",20,13,11.454060441494594,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,12,20.274137088175443,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,0,-33.594121199700254,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.36787944117144233}",35,0,-26.429488889554843,"{0: 28, 1: 1, 2: 6, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.3605949401730783}",30,3,-3.9390180670323374,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.35345468195878016}",30,0,-53.89666226527976,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,12,13.451973908913327,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.33959552564493911}",20,8,18.800834764437358,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.33287108369807955}",35,26,14.559839638329723,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,0,-49.19315363103829,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.31981902181630384}",25,4,-18.406368800467042,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.31348618088260533}",20,12,15.42305755917762,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.30727873860113125}",30,9,-44.83059179982268,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
61,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,8,-58.01535157632828,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.29523016692401421}",30,19,-12.830533111267243,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.28938421793905061}",25,3,-33.77114573151977,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,18,7.195149660967805,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.27803730045319414}",30,15,15.629952732159538,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.27253179303401259}",25,12,-52.88905614504626,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.26713530196585034}",25,6,-52.906117815953344,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.26184566858032599}",25,7,19.371226878195866,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.25666077695355588}",25,4,5.149403408072273,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,8,-48.750271702525964,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,0,-25.67373603641507,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,9,5.569257324869761,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.23692775868212176}",30,14,-25.933829841608947,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.23223627472975883}",30,10,17.52141749685727,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,16,8.523629937318129,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,14,21.68428624016486,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,8,12.296728203327948,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.21438110142697794}",30,0,43.324754232945146,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
